"","X","ISO3","Country","Province","Market","Address","latitude","longitude","ID","local_consumption"
"1925",1925,"YEM","Yemen","Al Mahwit","Mahweet City","Mahweet City, Yemen",15.4687838,43.5462744,"YEM1925",21523411.5625
"1926",1926,"YEM","Yemen","Amanat Al Asimah","Sana'a City","Sana'a City, Yemen",15.3694451,44.1910066,"YEM1926",104027745.375
"1927",1927,"YEM","Yemen","Amran","Amran City","Amran City, Yemen",15.6620639,43.9341408,"YEM1927",19136262.34375
"1928",1928,"YEM","Yemen","Dhamar","Dhamar City","Dhamar City, Yemen",14.5974341,44.3803921,"YEM1928",19979514.90625
"1929",1929,"YEM","Yemen","Hadramaut","Mukalla City","Mukalla City, Yemen",14.5404328,49.127197,"YEM1929",10098853.09375
"1930",1930,"YEM","Yemen","Hadramaut","Sayoun City","Sayoun City, Yemen",15.9495431,48.8095665,"YEM1930",6970451.890625
"1931",1931,"YEM","Yemen","Hadramaut","Soqatra (Hudaibo)","Soqatra (Hudaibo), Yemen",12.6501267,54.0189684,"YEM1931",541510.045898438
"1932",1932,"YEM","Yemen","Hajjah","Hajjah City","Hajjah City, Yemen",15.7030403,43.6039301,"YEM1932",29093847.0625
"1933",1933,"YEM","Yemen","Hajjah","Haradh Town","Haradh Town, Yemen",16.4036677,43.0631953,"YEM1933",7338698.40625
"1934",1934,"YEM","Yemen","Ibb","Ibb City","Ibb City, Yemen",13.9720929,44.1625338,"YEM1934",58512076.875
"1935",1935,"YEM","Yemen","Lahj","Al Hawta Town","Al Hawta Town, Yemen",14.4293729,46.1546535,"YEM1935",1425842.95117188
"1936",1936,"YEM","Yemen","Marib","Marib City","Marib City, Yemen",15.4700312,45.3228575,"YEM1936",2561653.77734375
"1937",1937,"YEM","Yemen","Raymah","Al Jabeen","Al Jabeen, Yemen",25.3408762,55.3639612,"YEM1937",15063227.53125
"1938",1938,"YEM","Yemen","Sa'ada","Sa'ada City","Sa'ada City, Yemen",16.9509413,43.7477743,"YEM1938",11452462.15625
